"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "XML", "CSS", "HTML", "Markdown", "comment", "blank", "total"
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Backend/app.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Backend/controllers/donor.controller.js", "JavaScript", 0, 99, 0, 0, 0, 0, 0, 1, 21, 121
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Backend/controllers/ngo.controller.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Backend/models/Donors.model.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Backend/models/Ngo.model.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Backend/models/donations.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 3, 35
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Backend/package-lock.json", "JSON", 1069, 0, 0, 0, 0, 0, 0, 0, 1, 1070
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Backend/package.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Backend/routes/donorRouter.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Backend/routes/ngoRouter.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 7, 0, 6, 13
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/eslint.config.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 2, 34
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/index.html", "HTML", 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/package-lock.json", "JSON", 3505, 0, 0, 0, 0, 0, 0, 0, 1, 3506
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/package.json", "JSON", 36, 0, 0, 0, 0, 0, 0, 0, 1, 37
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/public/vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/1st-Page/1st-page.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/1st-Page/1st-page.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/1st-Page/About-Page1.jsx", "JavaScript JSX", 0, 0, 60, 0, 0, 0, 0, 0, 8, 68
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/1st-Page/Footer.jsx", "JavaScript JSX", 0, 0, 93, 0, 0, 0, 0, 4, 6, 103
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/1st-Page/Navbar1.jsx", "JavaScript JSX", 0, 0, 32, 0, 0, 0, 0, 0, 7, 39
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/1st-Page/PopUpNotification.jsx", "JavaScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 2, 27
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/1st-Page/about-page1.module.css", "CSS", 0, 0, 0, 0, 122, 0, 0, 2, 21, 145
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/1st-Page/footer.module.css", "CSS", 0, 0, 0, 0, 120, 0, 0, 0, 23, 143
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/1st-Page/navbar1.module.css", "CSS", 0, 0, 0, 0, 113, 0, 0, 2, 19, 134
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/2nd-Page/2nd-Page.jsx", "JavaScript JSX", 0, 0, 67, 0, 0, 0, 0, 0, 13, 80
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/2nd-Page/About2.jsx", "JavaScript JSX", 0, 0, 169, 0, 0, 0, 0, 0, 10, 179
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/2nd-Page/DashBoard.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/2nd-Page/DonationStatusPage.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/2nd-Page/DonationsBoxList.jsx", "JavaScript JSX", 0, 0, 38, 0, 0, 0, 0, 0, 5, 43
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/2nd-Page/History.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/2nd-Page/Navbar2.jsx", "JavaScript JSX", 0, 0, 129, 0, 0, 0, 0, 4, 15, 148
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/2nd-Page/PostFoodPage.jsx", "JavaScript JSX", 0, 0, 120, 0, 0, 0, 0, 0, 17, 137
